#    L    TT             EE             BB             TE          
   214   0.550026E+04   0.749003E+00   0.155896E-01   0.379389E+01
   215   0.550378E+04   0.763290E+00   0.157489E-01   0.526228E+01
   216   0.550671E+04   0.778909E+00   0.159087E-01   0.674452E+01
   217   0.550905E+04   0.795889E+00   0.160691E-01   0.824003E+01
   218   0.551080E+04   0.814257E+00   0.162300E-01   0.974832E+01
   219   0.551195E+04   0.834057E+00   0.163915E-01   0.112687E+02
   220   0.551250E+04   0.855316E+00   0.165534E-01   0.128008E+02
   221   0.551245E+04   0.878065E+00   0.167159E-01   0.143437E+02
   222   0.551179E+04   0.902344E+00   0.168788E-01   0.158971E+02
   223   0.551052E+04   0.928177E+00   0.170422E-01   0.174602E+02
   224   0.550866E+04   0.955597E+00   0.172060E-01   0.190325E+02
   225   0.550620E+04   0.984627E+00   0.173703E-01   0.206132E+02
   226   0.550313E+04   0.101531E+01   0.175349E-01   0.222018E+02
   227   0.549947E+04   0.104767E+01   0.177000E-01   0.237976E+02
   228   0.549521E+04   0.108173E+01   0.178654E-01   0.254000E+02
   229   0.549036E+04   0.111753E+01   0.180312E-01   0.270082E+02
   230   0.548491E+04   0.115510E+01   0.181973E-01   0.286217E+02
   231   0.547887E+04   0.119444E+01   0.183637E-01   0.302397E+02
   232   0.547225E+04   0.123560E+01   0.185304E-01   0.318616E+02
   233   0.546504E+04   0.127860E+01   0.186974E-01   0.334867E+02
   234   0.545723E+04   0.132346E+01   0.188646E-01   0.351142E+02
   235   0.544885E+04   0.137022E+01   0.190321E-01   0.367437E+02
   236   0.543988E+04   0.141889E+01   0.191998E-01   0.383742E+02
   237   0.543035E+04   0.146949E+01   0.193677E-01   0.400052E+02
   238   0.542023E+04   0.152205E+01   0.195357E-01   0.416358E+02
   239   0.540955E+04   0.157657E+01   0.197039E-01   0.432655E+02
   240   0.539830E+04   0.163309E+01   0.198722E-01   0.448934E+02
   241   0.538648E+04   0.169163E+01   0.200407E-01   0.465189E+02
   242   0.537411E+04   0.175220E+01   0.202092E-01   0.481412E+02
   243   0.536119E+04   0.181482E+01   0.203777E-01   0.497596E+02
   244   0.534771E+04   0.187950E+01   0.205463E-01   0.513735E+02
   245   0.533369E+04   0.194627E+01   0.207150E-01   0.529822E+02
   246   0.531914E+04   0.201511E+01   0.208836E-01   0.545850E+02
   247   0.530405E+04   0.208607E+01   0.210522E-01   0.561811E+02
   248   0.528845E+04   0.215915E+01   0.212207E-01   0.577698E+02
   249   0.527232E+04   0.223436E+01   0.213892E-01   0.593506E+02
   250   0.525568E+04   0.231171E+01   0.215576E-01   0.609225E+02
   251   0.523852E+04   0.239120E+01   0.217258E-01   0.624849E+02
   252   0.522086E+04   0.247285E+01   0.218939E-01   0.640370E+02
   253   0.520268E+04   0.255665E+01   0.220619E-01   0.655780E+02
   254   0.518401E+04   0.264263E+01   0.222297E-01   0.671071E+02
   255   0.516483E+04   0.273077E+01   0.223973E-01   0.686236E+02
   256   0.514516E+04   0.282109E+01   0.225646E-01   0.701268E+02
   257   0.512499E+04   0.291359E+01   0.227318E-01   0.716161E+02
   258   0.510435E+04   0.300826E+01   0.228986E-01   0.730904E+02
   259   0.508325E+04   0.310512E+01   0.230652E-01   0.745503E+02
   260   0.506169E+04   0.320416E+01   0.232315E-01   0.759935E+02
   261   0.503970E+04   0.330539E+01   0.233975E-01   0.774208E+02
   262   0.501727E+04   0.340879E+01   0.235631E-01   0.788308E+02
   263   0.499444E+04   0.351438E+01   0.237284E-01   0.802235E+02
   264   0.497119E+04   0.362214E+01   0.238933E-01   0.815974E+02
   265   0.494753E+04   0.373206E+01   0.240578E-01   0.829533E+02
   266   0.492348E+04   0.384414E+01   0.242219E-01   0.842890E+02
   267   0.489903E+04   0.395835E+01   0.243856E-01   0.856038E+02
   268   0.487419E+04   0.407470E+01   0.245489E-01   0.868985E+02
   269   0.484897E+04   0.419317E+01   0.247117E-01   0.881708E+02
   270   0.482336E+04   0.431374E+01   0.248741E-01   0.894216E+02
   271   0.479740E+04   0.443641E+01   0.250359E-01   0.906486E+02
   272   0.477107E+04   0.456116E+01   0.251973E-01   0.918526E+02
   273   0.474439E+04   0.468795E+01   0.253582E-01   0.930322E+02
   274   0.471738E+04   0.481679E+01   0.255185E-01   0.941881E+02
   275   0.469003E+04   0.494764E+01   0.256783E-01   0.953181E+02
   276   0.466237E+04   0.508049E+01   0.258376E-01   0.964231E+02
   277   0.463440E+04   0.521532E+01   0.259963E-01   0.975015E+02
   278   0.460613E+04   0.535211E+01   0.261545E-01   0.985526E+02
   279   0.457757E+04   0.549082E+01   0.263120E-01   0.995772E+02
   280   0.454874E+04   0.563142E+01   0.264690E-01   0.100574E+03
   281   0.451964E+04   0.577390E+01   0.266254E-01   0.101543E+03
   282   0.449027E+04   0.591821E+01   0.267813E-01   0.102483E+03
   283   0.446066E+04   0.606433E+01   0.269364E-01   0.103394E+03
   284   0.443080E+04   0.621223E+01   0.270910E-01   0.104274E+03
   285   0.440071E+04   0.636188E+01   0.272450E-01   0.105125E+03
   286   0.437039E+04   0.651325E+01   0.273983E-01   0.105946E+03
   287   0.433988E+04   0.666627E+01   0.275509E-01   0.106736E+03
   288   0.430916E+04   0.682094E+01   0.277030E-01   0.107494E+03
   289   0.427824E+04   0.697721E+01   0.278543E-01   0.108221E+03
   290   0.424716E+04   0.713505E+01   0.280050E-01   0.108916E+03
   291   0.421590E+04   0.729442E+01   0.281551E-01   0.109578E+03
   292   0.418448E+04   0.745520E+01   0.283045E-01   0.110208E+03
   293   0.415290E+04   0.761746E+01   0.284531E-01   0.110805E+03
   294   0.412119E+04   0.778114E+01   0.286012E-01   0.111368E+03
   295   0.408933E+04   0.794607E+01   0.287485E-01   0.111897E+03
   296   0.405736E+04   0.811234E+01   0.288951E-01   0.112392E+03
   297   0.402525E+04   0.827980E+01   0.290411E-01   0.112852E+03
   298   0.399305E+04   0.844845E+01   0.291863E-01   0.113277E+03
   299   0.396075E+04   0.861821E+01   0.293309E-01   0.113667E+03
   300   0.392836E+04   0.878902E+01   0.294747E-01   0.114021E+03
   301   0.389589E+04   0.896094E+01   0.296178E-01   0.114340E+03
   302   0.386337E+04   0.913376E+01   0.297603E-01   0.114624E+03
   303   0.383079E+04   0.930756E+01   0.299020E-01   0.114872E+03
   304   0.379817E+04   0.948225E+01   0.300430E-01   0.115085E+03
   305   0.376553E+04   0.965778E+01   0.301832E-01   0.115262E+03
   306   0.373286E+04   0.983414E+01   0.303228E-01   0.115402E+03
   307   0.370019E+04   0.100112E+02   0.304617E-01   0.115506E+03
   308   0.366753E+04   0.101889E+02   0.305998E-01   0.115574E+03
   309   0.363487E+04   0.103673E+02   0.307372E-01   0.115606E+03
   310   0.360223E+04   0.105461E+02   0.308739E-01   0.115602E+03
   311   0.356962E+04   0.107255E+02   0.310099E-01   0.115560E+03
   312   0.353705E+04   0.109053E+02   0.311451E-01   0.115482E+03
   313   0.350453E+04   0.110855E+02   0.312797E-01   0.115367E+03
   314   0.347208E+04   0.112659E+02   0.314135E-01   0.115214E+03
   315   0.343968E+04   0.114466E+02   0.315466E-01   0.115025E+03
   316   0.340736E+04   0.116275E+02   0.316791E-01   0.114800E+03
   317   0.337514E+04   0.118084E+02   0.318108E-01   0.114537E+03
   318   0.334301E+04   0.119894E+02   0.319418E-01   0.114238E+03
   319   0.331099E+04   0.121704E+02   0.320721E-01   0.113902E+03
   320   0.327908E+04   0.123514E+02   0.322017E-01   0.113530E+03
   321   0.324731E+04   0.125321E+02   0.323307E-01   0.113122E+03
   322   0.321567E+04   0.127127E+02   0.324589E-01   0.112677E+03
   323   0.318417E+04   0.128930E+02   0.325865E-01   0.112195E+03
   324   0.315283E+04   0.130728E+02   0.327134E-01   0.111678E+03
   325   0.312164E+04   0.132523E+02   0.328397E-01   0.111125E+03
   326   0.309063E+04   0.134314E+02   0.329653E-01   0.110537E+03
   327   0.305979E+04   0.136099E+02   0.330903E-01   0.109912E+03
   328   0.302915E+04   0.137877E+02   0.332146E-01   0.109251E+03
   329   0.299870E+04   0.139648E+02   0.333384E-01   0.108557E+03
   330   0.296845E+04   0.141411E+02   0.334615E-01   0.107828E+03
   331   0.293842E+04   0.143167E+02   0.335840E-01   0.107063E+03
   332   0.290861E+04   0.144913E+02   0.337060E-01   0.106264E+03
   333   0.287902E+04   0.146650E+02   0.338274E-01   0.105432E+03
   334   0.284967E+04   0.148376E+02   0.339482E-01   0.104565E+03
   335   0.282057E+04   0.150091E+02   0.340685E-01   0.103665E+03
   336   0.279172E+04   0.151794E+02   0.341882E-01   0.102733E+03
   337   0.276313E+04   0.153485E+02   0.343075E-01   0.101768E+03
   338   0.273480E+04   0.155163E+02   0.344262E-01   0.100771E+03
   339   0.270675E+04   0.156827E+02   0.345445E-01   0.997424E+02
   340   0.267899E+04   0.158478E+02   0.346623E-01   0.986831E+02
   341   0.265151E+04   0.160112E+02   0.347797E-01   0.975927E+02
   342   0.262433E+04   0.161731E+02   0.348966E-01   0.964712E+02
   343   0.259744E+04   0.163334E+02   0.350132E-01   0.953202E+02
   344   0.257085E+04   0.164918E+02   0.351293E-01   0.941389E+02
   345   0.254457E+04   0.166485E+02   0.352451E-01   0.929279E+02
   346   0.251860E+04   0.168032E+02   0.353605E-01   0.916873E+02
   347   0.249294E+04   0.169560E+02   0.354757E-01   0.904179E+02
   348   0.246760E+04   0.171066E+02   0.355905E-01   0.891196E+02
   349   0.244259E+04   0.172552E+02   0.357050E-01   0.877947E+02
   350   0.241792E+04   0.174017E+02   0.358193E-01   0.864423E+02
   351   0.239359E+04   0.175461E+02   0.359333E-01   0.850640E+02
   352   0.236962E+04   0.176882E+02   0.360471E-01   0.836605E+02
   353   0.234600E+04   0.178281E+02   0.361607E-01   0.822318E+02
   354   0.232274E+04   0.179656E+02   0.362741E-01   0.807800E+02
   355   0.229985E+04   0.181008E+02   0.363874E-01   0.793044E+02
   356   0.227734E+04   0.182335E+02   0.365005E-01   0.778057E+02
   357   0.225520E+04   0.183637E+02   0.366136E-01   0.762846E+02
   358   0.223344E+04   0.184913E+02   0.367265E-01   0.747419E+02
   359   0.221207E+04   0.186163E+02   0.368394E-01   0.731774E+02
   360   0.219107E+04   0.187385E+02   0.369522E-01   0.715928E+02
   361   0.217047E+04   0.188579E+02   0.370651E-01   0.699868E+02
   362   0.215026E+04   0.189745E+02   0.371779E-01   0.683613E+02
   363   0.213045E+04   0.190881E+02   0.372907E-01   0.667169E+02
   364   0.211103E+04   0.191989E+02   0.374036E-01   0.650543E+02
   365   0.209202E+04   0.193066E+02   0.375166E-01   0.633741E+02
   366   0.207341E+04   0.194112E+02   0.376297E-01   0.616772E+02
   367   0.205522E+04   0.195128E+02   0.377428E-01   0.599643E+02
   368   0.203743E+04   0.196112E+02   0.378561E-01   0.582361E+02
   369   0.202006E+04   0.197065E+02   0.379696E-01   0.564935E+02
   370   0.200311E+04   0.197984E+02   0.380832E-01   0.547369E+02
   371   0.198657E+04   0.198873E+02   0.381971E-01   0.529674E+02
   372   0.197046E+04   0.199727E+02   0.383111E-01   0.511855E+02
   373   0.195476E+04   0.200548E+02   0.384254E-01   0.493920E+02
   374   0.193949E+04   0.201336E+02   0.385399E-01   0.475877E+02
   375   0.192464E+04   0.202089E+02   0.386548E-01   0.457731E+02
   376   0.191021E+04   0.202808E+02   0.387699E-01   0.439491E+02
   377   0.189621E+04   0.203492E+02   0.388853E-01   0.421164E+02
   378   0.188263E+04   0.204140E+02   0.390011E-01   0.402757E+02
   379   0.186948E+04   0.204752E+02   0.391172E-01   0.384276E+02
   380   0.185676E+04   0.205328E+02   0.392337E-01   0.365730E+02
   381   0.184446E+04   0.205867E+02   0.393506E-01   0.347125E+02
   382   0.183260E+04   0.206368E+02   0.394679E-01   0.328468E+02
   383   0.182117E+04   0.206833E+02   0.395856E-01   0.309768E+02
   384   0.181016E+04   0.207260E+02   0.397038E-01   0.291032E+02
   385   0.179957E+04   0.207649E+02   0.398224E-01   0.272268E+02
   386   0.178942E+04   0.208002E+02   0.399416E-01   0.253486E+02
   387   0.177970E+04   0.208317E+02   0.400612E-01   0.234691E+02
   388   0.177039E+04   0.208595E+02   0.401813E-01   0.215894E+02
   389   0.176150E+04   0.208836E+02   0.403020E-01   0.197101E+02
   390   0.175304E+04   0.209039E+02   0.404233E-01   0.178320E+02
   391   0.174500E+04   0.209205E+02   0.405451E-01   0.159559E+02
   392   0.173737E+04   0.209332E+02   0.406674E-01   0.140826E+02
   393   0.173016E+04   0.209423E+02   0.407904E-01   0.122128E+02
   394   0.172336E+04   0.209474E+02   0.409140E-01   0.103472E+02
