#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   147   0.412152E+04  -0.444087E+02   0.223321E-03  -0.444087E+02   0.107345E+01  -0.908477E-06   0.223321E-03  -0.908477E-06   0.793125E-07
   148   0.415362E+04  -0.445125E+02   0.221248E-03  -0.445125E+02   0.106989E+01  -0.902639E-06   0.221248E-03  -0.902639E-06   0.788488E-07
   149   0.418555E+04  -0.445940E+02   0.219198E-03  -0.445940E+02   0.106588E+01  -0.896898E-06   0.219198E-03  -0.896898E-06   0.783887E-07
   150   0.421731E+04  -0.446527E+02   0.217169E-03  -0.446527E+02   0.106143E+01  -0.891360E-06   0.217169E-03  -0.891360E-06   0.779324E-07
   151   0.424886E+04  -0.446882E+02   0.215159E-03  -0.446882E+02   0.105655E+01  -0.886110E-06   0.215159E-03  -0.886110E-06   0.774797E-07
   152   0.428023E+04  -0.447004E+02   0.213169E-03  -0.447004E+02   0.105125E+01  -0.881133E-06   0.213169E-03  -0.881133E-06   0.770306E-07
   153   0.431138E+04  -0.446888E+02   0.211199E-03  -0.446888E+02   0.104554E+01  -0.876388E-06   0.211199E-03  -0.876388E-06   0.765851E-07
   154   0.434233E+04  -0.446535E+02   0.209248E-03  -0.446535E+02   0.103943E+01  -0.871837E-06   0.209248E-03  -0.871837E-06   0.761432E-07
   155   0.437307E+04  -0.445939E+02   0.207316E-03  -0.445939E+02   0.103293E+01  -0.867440E-06   0.207316E-03  -0.867440E-06   0.757049E-07
   156   0.440360E+04  -0.445100E+02   0.205405E-03  -0.445100E+02   0.102606E+01  -0.863157E-06   0.205405E-03  -0.863157E-06   0.752701E-07
   157   0.443390E+04  -0.444015E+02   0.203513E-03  -0.444015E+02   0.101881E+01  -0.858948E-06   0.203513E-03  -0.858948E-06   0.748389E-07
   158   0.446397E+04  -0.442681E+02   0.201641E-03  -0.442681E+02   0.101121E+01  -0.854774E-06   0.201641E-03  -0.854774E-06   0.744111E-07
   159   0.449381E+04  -0.441096E+02   0.199789E-03  -0.441096E+02   0.100327E+01  -0.850596E-06   0.199789E-03  -0.850596E-06   0.739868E-07
   160   0.452340E+04  -0.439259E+02   0.197957E-03  -0.439259E+02   0.995005E+00  -0.846372E-06   0.197957E-03  -0.846372E-06   0.735659E-07
   161   0.455272E+04  -0.437167E+02   0.196145E-03  -0.437167E+02   0.986430E+00  -0.842065E-06   0.196145E-03  -0.842065E-06   0.731485E-07
   162   0.458177E+04  -0.434819E+02   0.194354E-03  -0.434819E+02   0.977558E+00  -0.837634E-06   0.194354E-03  -0.837634E-06   0.727344E-07
